MethodID,MethodName
1,Cash
2,Card
3,Bank Transfer
4,Online
5,Extended Extra MethodName Category Value 5
6,Extended Extra MethodName Category Value 6
7,Extended Extra MethodName Category Value 7
8,Extended Extra MethodName Category Value 8
9,Extended Extra MethodName Category Value 9
10,Extended Extra MethodName Category Value 10
11,Extended Extra MethodName Category Value 11
12,Extended Extra MethodName Category Value 12
13,Extended Extra MethodName Category Value 13
14,Extended Extra MethodName Category Value 14
15,Extended Extra MethodName Category Value 15
16,Extended Extra MethodName Category Value 16
17,Extended Extra MethodName Category Value 17
18,Extended Extra MethodName Category Value 18
19,Extended Extra MethodName Category Value 19
20,Extended Extra MethodName Category Value 20
21,Extended Extra MethodName Category Value 21
22,Extended Extra MethodName Category Value 22
23,Extended Extra MethodName Category Value 23
24,Extended Extra MethodName Category Value 24
25,Extended Extra MethodName Category Value 25
26,Extended Extra MethodName Category Value 26
27,Extended Extra MethodName Category Value 27
28,Extended Extra MethodName Category Value 28
29,Extended Extra MethodName Category Value 29
30,Extended Extra MethodName Category Value 30
31,Extended Extra MethodName Category Value 31
32,Extended Extra MethodName Category Value 32
33,Extended Extra MethodName Category Value 33
34,Extended Extra MethodName Category Value 34
35,Extended Extra MethodName Category Value 35
36,Extended Extra MethodName Category Value 36
37,Extended Extra MethodName Category Value 37
38,Extended Extra MethodName Category Value 38
39,Extended Extra MethodName Category Value 39
40,Extended Extra MethodName Category Value 40
41,Extended Extra MethodName Category Value 41
42,Extended Extra MethodName Category Value 42
43,Extended Extra MethodName Category Value 43
44,Extended Extra MethodName Category Value 44
45,Extended Extra MethodName Category Value 45
46,Extended Extra MethodName Category Value 46
47,Extended Extra MethodName Category Value 47
48,Extended Extra MethodName Category Value 48
49,Extended Extra MethodName Category Value 49
50,Extended Extra MethodName Category Value 50
