ServiceID,VehicleID,ServiceDate,TotalCost,MechanicID,ApptID
1,1,2026-04-01,0.0,1,1
2,2,2026-04-03,0.0,2,2
3,3,2026-04-05,0.0,3,3
4,4,2026-04-08,0.0,4,4
5,5,2026-04-10,0.0,5,5
6,6,2026-04-12,0.0,1,6
7,7,2026-04-15,0.0,7,7
8,8,2026-04-18,0.0,2,8
9,9,2026-04-20,0.0,3,9
10,10,2026-04-22,0.0,5,10
11,21,2026-05-21,0.0,16,11
12,6,2026-05-02,0.0,29,12
13,16,2026-05-18,0.0,30,13
14,37,2026-05-13,0.0,43,14
15,25,2026-05-04,0.0,2,15
16,32,2026-05-21,0.0,21,16
17,12,2026-05-09,0.0,14,17
18,23,2026-05-19,0.0,17,18
19,22,2026-05-02,0.0,39,19
20,45,2026-05-22,0.0,18,20
21,36,2026-04-24,0.0,34,21
22,13,2026-04-26,0.0,16,22
23,47,2026-05-07,0.0,32,23
24,36,2026-05-18,0.0,16,24
25,45,2026-05-09,0.0,42,25
26,46,2026-05-09,0.0,29,26
27,2,2026-04-26,0.0,19,27
28,15,2026-05-06,0.0,45,28
29,16,2026-05-03,0.0,43,29
30,38,2026-05-05,0.0,31,30
31,36,2026-05-10,0.0,23,31
32,28,2026-05-17,0.0,36,32
33,22,2026-05-05,0.0,45,33
34,30,2026-05-02,0.0,20,34
35,17,2026-05-01,0.0,8,35
36,47,2026-04-30,0.0,21,36
37,8,2026-05-17,0.0,35,37
38,49,2026-05-16,0.0,12,38
39,13,2026-04-30,0.0,48,39
40,31,2026-05-02,0.0,47,40
41,38,2026-05-18,0.0,34,41
42,39,2026-05-03,0.0,7,42
43,13,2026-05-03,0.0,15,43
44,24,2026-04-29,0.0,20,44
45,1,2026-05-16,0.0,35,45
46,9,2026-05-02,0.0,3,46
47,4,2026-05-11,0.0,19,47
48,45,2026-04-28,0.0,41,48
49,49,2026-05-09,0.0,7,49
50,1,2026-05-12,0.0,19,50
