PartID,CategoryID,PartName,StockQuantity,UnitPrice
1,1,Part_1,47,2293
2,2,Part_2,90,642
3,3,Part_3,89,1828
4,4,Part_4,56,4746
5,5,Part_5,83,2677
6,6,Part_6,34,1841
7,7,Part_7,100,4189
8,8,Part_8,18,3341
9,9,Part_9,15,3858
10,10,Part_10,94,1270
11,11,Part_11,39,2269
12,12,Part_12,47,1243
13,13,Part_13,20,2120
14,14,Part_14,39,4698
15,15,Part_15,22,4515
16,16,Part_16,58,2252
17,17,Part_17,45,4888
18,18,Part_18,68,3609
19,19,Part_19,91,4880
20,20,Part_20,56,3371
21,21,Part_21,30,3065
22,22,Part_22,57,1896
23,23,Part_23,55,1233
24,24,Part_24,36,4274
25,25,Part_25,95,4142
26,26,Part_26,44,844
27,27,Part_27,99,485
28,28,Part_28,97,998
29,29,Part_29,92,1352
30,30,Part_30,19,1410
31,31,Part_31,87,3558
32,32,Part_32,91,4985
33,33,Part_33,31,620
34,34,Part_34,78,3252
35,35,Part_35,41,3226
36,36,Part_36,30,4981
37,37,Part_37,69,3934
38,38,Part_38,58,4434
39,39,Part_39,44,2159
40,40,Part_40,91,4632
41,41,Part_41,98,194
42,42,Part_42,81,1038
43,43,Part_43,38,4498
44,44,Part_44,97,2285
45,45,Part_45,51,2886
46,46,Part_46,17,1013
47,47,Part_47,39,2504
48,48,Part_48,14,3661
49,49,Part_49,50,1395
50,50,Part_50,61,3816
