InvoiceID,ServiceID,IssueDate,DueDate,Subtotal,TaxAmount,GrandTotal,Status,Notes
1,1,2026-05-01,2026-06-01,8579,692,9866,Pending,Invoice note 0
2,2,2026-05-02,2026-06-02,5092,708,1328,Paid,Invoice note 1
3,3,2026-05-03,2026-06-03,2235,140,10286,Overdue,Invoice note 2
4,4,2026-05-04,2026-06-04,8260,734,6105,Cancelled,Invoice note 3
5,5,2026-05-05,2026-06-05,2604,183,2897,Pending,Invoice note 4
6,6,2026-05-06,2026-06-06,1828,529,3400,Paid,Invoice note 5
7,7,2026-05-07,2026-06-07,9856,773,5533,Overdue,Invoice note 6
8,8,2026-05-08,2026-06-08,1241,697,3091,Cancelled,Invoice note 7
9,9,2026-05-09,2026-06-09,2528,678,2953,Pending,Invoice note 8
10,10,2026-05-10,2026-06-10,4872,635,10264,Paid,Invoice note 9
11,11,2026-05-11,2026-06-11,3724,423,3746,Overdue,Invoice note 10
12,12,2026-05-12,2026-06-12,7658,367,5662,Cancelled,Invoice note 11
13,13,2026-05-13,2026-06-13,8956,309,5816,Pending,Invoice note 12
14,14,2026-05-14,2026-06-14,8886,785,4650,Paid,Invoice note 13
15,15,2026-05-15,2026-06-15,4502,833,6817,Overdue,Invoice note 14
16,16,2026-05-16,2026-06-16,7570,421,4535,Cancelled,Invoice note 15
17,17,2026-05-17,2026-06-17,1960,344,5525,Pending,Invoice note 16
18,18,2026-05-18,2026-06-18,3697,371,9480,Paid,Invoice note 17
19,19,2026-05-19,2026-06-19,7209,505,9204,Overdue,Invoice note 18
20,20,2026-05-20,2026-06-20,1035,234,5314,Cancelled,Invoice note 19
21,21,2026-05-21,2026-06-21,7396,787,2032,Pending,Invoice note 20
22,22,2026-05-22,2026-06-22,5345,760,2712,Paid,Invoice note 21
23,23,2026-05-23,2026-06-23,8454,407,8139,Overdue,Invoice note 22
24,24,2026-05-24,2026-06-24,5673,568,5733,Cancelled,Invoice note 23
25,25,2026-05-25,2026-06-25,7930,423,1922,Pending,Invoice note 24
26,26,2026-05-26,2026-06-26,8973,869,1258,Paid,Invoice note 25
27,27,2026-05-27,2026-06-27,3536,174,6664,Overdue,Invoice note 26
28,28,2026-05-28,2026-06-28,4111,109,3343,Cancelled,Invoice note 27
29,29,2026-05-01,2026-06-01,5861,569,5491,Pending,Invoice note 28
30,30,2026-05-02,2026-06-02,4566,736,3847,Paid,Invoice note 29
31,31,2026-05-03,2026-06-03,1958,676,8439,Overdue,Invoice note 30
32,32,2026-05-04,2026-06-04,9883,202,10238,Cancelled,Invoice note 31
33,33,2026-05-05,2026-06-05,1998,175,8207,Pending,Invoice note 32
34,34,2026-05-06,2026-06-06,6138,650,10389,Paid,Invoice note 33
35,35,2026-05-07,2026-06-07,1936,318,1358,Overdue,Invoice note 34
36,36,2026-05-08,2026-06-08,1821,618,3032,Cancelled,Invoice note 35
37,37,2026-05-09,2026-06-09,8811,371,2432,Pending,Invoice note 36
38,38,2026-05-10,2026-06-10,9238,235,3642,Paid,Invoice note 37
39,39,2026-05-11,2026-06-11,9701,457,10138,Overdue,Invoice note 38
40,40,2026-05-12,2026-06-12,3579,170,1790,Cancelled,Invoice note 39
41,41,2026-05-13,2026-06-13,1931,1000,7249,Pending,Invoice note 40
42,42,2026-05-14,2026-06-14,9320,350,10743,Paid,Invoice note 41
43,43,2026-05-15,2026-06-15,2312,478,10252,Overdue,Invoice note 42
44,44,2026-05-16,2026-06-16,4044,391,3626,Cancelled,Invoice note 43
45,45,2026-05-17,2026-06-17,2122,261,8241,Pending,Invoice note 44
46,46,2026-05-18,2026-06-18,2113,548,3288,Paid,Invoice note 45
47,47,2026-05-19,2026-06-19,4853,953,1885,Overdue,Invoice note 46
48,48,2026-05-20,2026-06-20,7615,656,6250,Cancelled,Invoice note 47
49,49,2026-05-21,2026-06-21,2964,820,7174,Pending,Invoice note 48
50,50,2026-05-22,2026-06-22,5033,409,1853,Paid,Invoice note 49
