CategoryID,CategoryName,Description
1,Category_1,Category desc 1
2,Category_2,Category desc 2
3,Category_3,Category desc 3
4,Category_4,Category desc 4
5,Category_5,Category desc 5
6,Category_6,Category desc 6
7,Category_7,Category desc 7
8,Category_8,Category desc 8
9,Category_9,Category desc 9
10,Category_10,Category desc 10
11,Category_11,Category desc 11
12,Category_12,Category desc 12
13,Category_13,Category desc 13
14,Category_14,Category desc 14
15,Category_15,Category desc 15
16,Category_16,Category desc 16
17,Category_17,Category desc 17
18,Category_18,Category desc 18
19,Category_19,Category desc 19
20,Category_20,Category desc 20
21,Category_21,Category desc 21
22,Category_22,Category desc 22
23,Category_23,Category desc 23
24,Category_24,Category desc 24
25,Category_25,Category desc 25
26,Category_26,Category desc 26
27,Category_27,Category desc 27
28,Category_28,Category desc 28
29,Category_29,Category desc 29
30,Category_30,Category desc 30
31,Category_31,Category desc 31
32,Category_32,Category desc 32
33,Category_33,Category desc 33
34,Category_34,Category desc 34
35,Category_35,Category desc 35
36,Category_36,Category desc 36
37,Category_37,Category desc 37
38,Category_38,Category desc 38
39,Category_39,Category desc 39
40,Category_40,Category desc 40
41,Category_41,Category desc 41
42,Category_42,Category desc 42
43,Category_43,Category desc 43
44,Category_44,Category desc 44
45,Category_45,Category desc 45
46,Category_46,Category desc 46
47,Category_47,Category desc 47
48,Category_48,Category desc 48
49,Category_49,Category desc 49
50,Category_50,Category desc 50
