PaymentID,InvoiceID,MethodID,Amount,PaymentDate,ReferenceNo
1,1,1,6362,2026-05-01,REF0
2,2,2,3941,2026-05-02,REF1
3,3,3,4588,2026-05-03,REF2
4,4,4,2184,2026-05-04,REF3
5,5,5,6294,2026-05-05,REF4
6,6,6,9673,2026-05-06,REF5
7,7,7,7158,2026-05-07,REF6
8,8,8,3032,2026-05-08,REF7
9,9,9,4378,2026-05-09,REF8
10,10,10,3162,2026-05-10,REF9
11,11,11,3400,2026-05-11,REF10
12,12,12,7255,2026-05-12,REF11
13,13,13,906,2026-05-13,REF12
14,14,14,3438,2026-05-14,REF13
15,15,15,5942,2026-05-15,REF14
16,16,16,7245,2026-05-16,REF15
17,17,17,4565,2026-05-17,REF16
18,18,18,4871,2026-05-18,REF17
19,19,19,3108,2026-05-19,REF18
20,20,20,2271,2026-05-20,REF19
21,21,21,6767,2026-05-21,REF20
22,22,22,1134,2026-05-22,REF21
23,23,23,8211,2026-05-23,REF22
24,24,24,4144,2026-05-24,REF23
25,25,25,3769,2026-05-25,REF24
26,26,26,8041,2026-05-26,REF25
27,27,27,6228,2026-05-27,REF26
28,28,28,5500,2026-05-28,REF27
29,29,29,4228,2026-05-01,REF28
30,30,30,4152,2026-05-02,REF29
31,31,31,887,2026-05-03,REF30
32,32,32,3664,2026-05-04,REF31
33,33,33,7028,2026-05-05,REF32
34,34,34,5878,2026-05-06,REF33
35,35,35,5064,2026-05-07,REF34
36,36,36,1637,2026-05-08,REF35
37,37,37,5073,2026-05-09,REF36
38,38,38,6253,2026-05-10,REF37
39,39,39,8846,2026-05-11,REF38
40,40,40,7048,2026-05-12,REF39
41,41,41,9285,2026-05-13,REF40
42,42,42,5925,2026-05-14,REF41
43,43,43,952,2026-05-15,REF42
44,44,44,2389,2026-05-16,REF43
45,45,45,4779,2026-05-17,REF44
46,46,46,3425,2026-05-18,REF45
47,47,47,4849,2026-05-19,REF46
48,48,48,1126,2026-05-20,REF47
49,49,49,2276,2026-05-21,REF48
50,50,50,7619,2026-05-22,REF49
