ServiceTypeID,TypeName,Description
1,ServiceType_1,Service type desc 1
2,ServiceType_2,Service type desc 2
3,ServiceType_3,Service type desc 3
4,ServiceType_4,Service type desc 4
5,ServiceType_5,Service type desc 5
6,ServiceType_6,Service type desc 6
7,ServiceType_7,Service type desc 7
8,ServiceType_8,Service type desc 8
9,ServiceType_9,Service type desc 9
10,ServiceType_10,Service type desc 10
11,ServiceType_11,Service type desc 11
12,ServiceType_12,Service type desc 12
13,ServiceType_13,Service type desc 13
14,ServiceType_14,Service type desc 14
15,ServiceType_15,Service type desc 15
16,ServiceType_16,Service type desc 16
17,ServiceType_17,Service type desc 17
18,ServiceType_18,Service type desc 18
19,ServiceType_19,Service type desc 19
20,ServiceType_20,Service type desc 20
21,ServiceType_21,Service type desc 21
22,ServiceType_22,Service type desc 22
23,ServiceType_23,Service type desc 23
24,ServiceType_24,Service type desc 24
25,ServiceType_25,Service type desc 25
26,ServiceType_26,Service type desc 26
27,ServiceType_27,Service type desc 27
28,ServiceType_28,Service type desc 28
29,ServiceType_29,Service type desc 29
30,ServiceType_30,Service type desc 30
31,ServiceType_31,Service type desc 31
32,ServiceType_32,Service type desc 32
33,ServiceType_33,Service type desc 33
34,ServiceType_34,Service type desc 34
35,ServiceType_35,Service type desc 35
36,ServiceType_36,Service type desc 36
37,ServiceType_37,Service type desc 37
38,ServiceType_38,Service type desc 38
39,ServiceType_39,Service type desc 39
40,ServiceType_40,Service type desc 40
41,ServiceType_41,Service type desc 41
42,ServiceType_42,Service type desc 42
43,ServiceType_43,Service type desc 43
44,ServiceType_44,Service type desc 44
45,ServiceType_45,Service type desc 45
46,ServiceType_46,Service type desc 46
47,ServiceType_47,Service type desc 47
48,ServiceType_48,Service type desc 48
49,ServiceType_49,Service type desc 49
50,ServiceType_50,Service type desc 50
