SpecID,SpecName,Description
1,Specialization_1,Description of spec 1
2,Specialization_2,Description of spec 2
3,Specialization_3,Description of spec 3
4,Specialization_4,Description of spec 4
5,Specialization_5,Description of spec 5
6,Specialization_6,Description of spec 6
7,Specialization_7,Description of spec 7
8,Specialization_8,Description of spec 8
9,Specialization_9,Description of spec 9
10,Specialization_10,Description of spec 10
11,Specialization_11,Description of spec 11
12,Specialization_12,Description of spec 12
13,Specialization_13,Description of spec 13
14,Specialization_14,Description of spec 14
15,Specialization_15,Description of spec 15
16,Specialization_16,Description of spec 16
17,Specialization_17,Description of spec 17
18,Specialization_18,Description of spec 18
19,Specialization_19,Description of spec 19
20,Specialization_20,Description of spec 20
21,Specialization_21,Description of spec 21
22,Specialization_22,Description of spec 22
23,Specialization_23,Description of spec 23
24,Specialization_24,Description of spec 24
25,Specialization_25,Description of spec 25
26,Specialization_26,Description of spec 26
27,Specialization_27,Description of spec 27
28,Specialization_28,Description of spec 28
29,Specialization_29,Description of spec 29
30,Specialization_30,Description of spec 30
31,Specialization_31,Description of spec 31
32,Specialization_32,Description of spec 32
33,Specialization_33,Description of spec 33
34,Specialization_34,Description of spec 34
35,Specialization_35,Description of spec 35
36,Specialization_36,Description of spec 36
37,Specialization_37,Description of spec 37
38,Specialization_38,Description of spec 38
39,Specialization_39,Description of spec 39
40,Specialization_40,Description of spec 40
41,Specialization_41,Description of spec 41
42,Specialization_42,Description of spec 42
43,Specialization_43,Description of spec 43
44,Specialization_44,Description of spec 44
45,Specialization_45,Description of spec 45
46,Specialization_46,Description of spec 46
47,Specialization_47,Description of spec 47
48,Specialization_48,Description of spec 48
49,Specialization_49,Description of spec 49
50,Specialization_50,Description of spec 50
